Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Custom field (Vulnerability),Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Review Presentation (Market & Financial Analysis),SCRUM-80,10419,Task,In Progress,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,22/Apr/26 7:56 AM,22/Apr/26 7:59 AM,,,,0,,,,,"Build the slide deck for the *Sprint 4 review presentation* of the *Regulatory Compliance Navigator* project (*K608 team*, *PR00B251*).

The presentation should cover market and financial analysis findings from *section 3.4*, including:

* *Competitive advantage table*
* *Financial viability metrics*
* *Technology stack justification*
* *Updated prototype screenshots*

Reference the *midway presentation style* (*dark green theme with gold accents*).

*Deliverables:* slides and report submission on Moodle.

*Requested priority:* High
*Requested sprint:* Sprint 4",,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,,,,,,,,,{},,0|i00086:h,SCRUM questions Sprint 4,,,,,,,,,,,In Progress,22/Apr/26 7:59 AM
Complete Financial & Market Analysis (Section 3.4),SCRUM-79,10418,Task,In Progress,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,,,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,22/Apr/26 7:47 AM,22/Apr/26 7:49 AM,,,,0,,,,,"Finalize the market and financial analysis chapter for the *Regulatory Compliance Navigator* (*K608 team project*, *PR00B251 Product Development Project at KTU*).

This task covers *report section 3.4* and includes:

* *Cost-benefit model refinement*
** MVP development cost: *€50–80K*
** Year 1 operations: *€95–170K*
* *SaaS pricing validation*
** Proposed pricing: *€10–25/month*
** Benchmark consultant fees: *€200–800/year*
* *Break-even analysis*
** Target range: *5–8K users*
* *Serviceable market sizing*
** *3.3M EU farms* in the *5–50 ha* segment
* *Funding opportunity mapping*
** *Horizon Europe Cluster 6*
** *EIP-AGRI*
** *CAP Pillar II*

*Deliverable:* completed *section 3.4* in the report.

*Requested priority:* High
*Requested sprint:* Sprint 4",,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,,,,,,,,,{},,0|i00086:g,SCRUM questions Sprint 4,,,,,,,,,,,In Progress,22/Apr/26 7:48 AM
"End-to-end release hardening for login, profile, tasks, reports, reminders, and audit flows",SCRUM-78,10385,Task,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,13/Apr/26 5:15 PM,13/Apr/26 5:21 PM,,,,0,qa,regression,release,,"Release-hardening task for the final two sprint delivery window.

* Run end-to-end validation across login, profile, tasks, reports, reminders, and audit flows.
* Fix critical regression issues uncovered during final walkthrough and demo preparation.
* Document any residual risks before release sign-off.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i000gn:,SCRUM questions Sprint 6,,,3.0,,,,,10160,SCRUM-21,Mobile App Foundation,To Do,13/Apr/26 5:15 PM
Replace mocked farm-profile sync with durable synced profile state and validation refresh,SCRUM-77,10383,Task,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,13/Apr/26 5:15 PM,13/Apr/26 5:21 PM,,,,0,followup-scrum-30,profile,sync,,"Follow-up task for the current mocked farm-profile sync path.

* Replace the mocked backend sync behavior with a durable synced profile state model.
* Refresh validation and user feedback around save versus sync outcomes.
* Close the remaining implementation gap behind SCRUM-30.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i000gf:,SCRUM questions Sprint 6,,,5.0,,,,,10162,SCRUM-23,Farm Profile and Eligibility Inputs,To Do,13/Apr/26 5:15 PM
Add regulation feed deep-links from change items into impacted task or guidance view,SCRUM-76,10381,Task,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,13/Apr/26 5:15 PM,13/Apr/26 5:21 PM,,,,0,followup-scrum-45,navigation,regulations,,"Follow-up task for the regulation feed so it closes the missing navigation gap.

* Add deep-link behavior from feed items into the impacted task or guidance surface.
* Preserve read/unread behavior while improving navigation for changed rules.
* Close the remaining acceptance gap in SCRUM-45.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i000g7:,SCRUM questions Sprint 6,,,5.0,,,,,10163,SCRUM-24,Compliance Tasks Module,To Do,13/Apr/26 5:15 PM
Expand task personalization rules and externalize task/risk/guidance content,SCRUM-75,10379,Task,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,13/Apr/26 5:15 PM,13/Apr/26 5:21 PM,,,,0,followup-scrum-31,followup-scrum-32,followup-scrum-42,tasks,"Follow-up task for compliance task stories that are currently implemented as a limited demo ruleset.

* Expand personalization beyond the current simplified profile-based demo logic.
* Move task content, plain-language guidance, and penalty/risk copy into an externalized content source.
* Keep the resulting task list aligned with the intent of SCRUM-31, SCRUM-32, and SCRUM-42.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i000fz:,SCRUM questions Sprint 6,,,8.0,,,,,10163,SCRUM-24,Compliance Tasks Module,To Do,13/Apr/26 5:15 PM
"Add i18n framework, persisted language selection, and untranslated-key build guard",SCRUM-74,10377,Task,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,13/Apr/26 5:15 PM,13/Apr/26 5:20 PM,13/Apr/26 5:21 PM,,,0,followup-scrum-44,i18n,localization,,"New implementation task for multi-language interface support.

* Add a language-selection mechanism in app settings and persist the chosen language.
* Ensure the selected language survives restart and login session restore.
* Block release-quality builds when unresolved translation keys remain.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i000fr:,SCRUM questions Sprint 6,,,8.0,,,,,10160,SCRUM-21,Mobile App Foundation,To Do,13/Apr/26 5:15 PM
Add OCR document import with editable extraction review and low-confidence flags,SCRUM-73,10375,Task,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,13/Apr/26 5:14 PM,13/Apr/26 5:20 PM,,,,0,followup-scrum-38,ocr,reports,,"New implementation task for OCR-assisted report prefill.

* Extract document type, date, and identifier/reference from uploaded documents.
* Let the user review and edit OCR results before saving them into a report.
* Flag low-confidence extractions clearly for manual confirmation.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i000fj:,SCRUM questions Sprint 6,,,8.0,,,,,10164,SCRUM-25,Basic Report Workflow,To Do,13/Apr/26 5:15 PM
Export audit logs by date range in CSV/JSON and log the export action,SCRUM-72,10373,Task,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,13/Apr/26 5:14 PM,13/Apr/26 5:20 PM,,,,0,audit,export,followup-scrum-47,,"New implementation task for immutable audit export support.

* Allow date-range selection for audit export.
* Support CSV and JSON export formats with key traceability events included.
* Audit-log the export action itself so inspection evidence remains traceable.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i000fb:,SCRUM questions Sprint 5,,,5.0,,,,,10167,SCRUM-28,Audit Logging and Traceability,To Do,13/Apr/26 5:14 PM
"Productionize evidence flow with real picker, retry UX, and report preview visibility",SCRUM-71,10371,Task,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,13/Apr/26 5:14 PM,13/Apr/26 5:20 PM,,,,0,attachments,followup-scrum-37,reports,,"Follow-up task for the current prototype-only evidence attachment flow.

* Replace the purely simulated upload path with a production-ready evidence selection flow.
* Surface clear failure and retry behavior for attachment errors.
* Expose attached evidence in report preview so it is visible in the reporting workflow.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i000f3:,SCRUM questions Sprint 5,,,5.0,,,,,10164,SCRUM-25,Basic Report Workflow,To Do,13/Apr/26 5:14 PM
Implement real deadline notifications with disable behavior and task deep-link,SCRUM-70,10369,Task,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,13/Apr/26 5:14 PM,13/Apr/26 5:20 PM,,,,0,followup-scrum-35,followup-scrum-48,notifications,,"Follow-up task for reminder stories that are only partially covered by current settings UI.

* Send deadline reminders based on configured offsets and respect disabled state immediately.
* Support direct navigation from a reminder into the relevant task detail.
* Cover both SCRUM-35 and SCRUM-48 acceptance intent in one implementation slice.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i000ev:,SCRUM questions Sprint 5,,,8.0,,,,,10166,SCRUM-27,Deadline Reminders and Notifications,To Do,13/Apr/26 5:14 PM
Add sync conflict resolution screen with field-by-field merge and audit trail,SCRUM-69,10367,Task,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,13/Apr/26 5:14 PM,13/Apr/26 5:20 PM,,,,0,conflicts,followup-scrum-40,offline,,"New implementation task for the unscheduled sync conflict resolution story.

* Show local versus server values field by field when offline edits conflict after reconnect.
* Allow the user to choose local or server values per conflicting field before final sync.
* Persist the merged result and record the resolution in the audit trail.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i000en:,SCRUM questions Sprint 5,,,8.0,,,,,10165,SCRUM-26,Offline Draft and Sync,To Do,13/Apr/26 5:14 PM
Persist offline queue and reconnect sync state across app restarts,SCRUM-68,10365,Task,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,13/Apr/26 5:14 PM,13/Apr/26 5:20 PM,,,,0,followup-scrum-34,offline,sync,,"Follow-up task for the partially implemented offline draft and sync flow.

* Persist queued sync actions and local sync metadata across app restarts.
* Reconnect should resume pending work safely and show a visible sync result to the user.
* Close the prototype gap around SCRUM-34 without changing the intended user flow.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i000ef:,SCRUM questions Sprint 5,,,5.0,,,,,10165,SCRUM-26,Offline Draft and Sync,To Do,13/Apr/26 5:14 PM
Replace mocked report submit path with persistent submission service,SCRUM-67,10363,Task,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,13/Apr/26 5:13 PM,13/Apr/26 5:20 PM,,,,0,backend,followup-scrum-33,reports,,"Follow-up task for partially implemented report submission flow.

* Replace the current local-only submit path with a durable submission service and persistent confirmation handling.
* Preserve validation, submission history, and user-visible success/failure states.
* Keep this aligned with SCRUM-33 acceptance criteria while closing the prototype gap.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i000e7:,SCRUM questions Sprint 5,,,8.0,,,,,10164,SCRUM-25,Basic Report Workflow,To Do,13/Apr/26 5:13 PM
Prepare Progress Presentation (Sprint 2 Review) – Week 8,SCRUM-66,10329,Task,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,18/Mar/26 3:56 PM,15/Apr/26 3:51 PM,,15/Apr/26 3:51 PM,,0,,,,,"Prepare and deliver the Sprint 2 progress presentation. Covers report chapter *3.2*. Slides and report to be submitted on Moodle.

----

*Grading Criteria:*

*1. Disclosure of the Essence (max 20 pts)*

* Clear presentation of the aim, objectives and expected outcomes of the project
* Clear presentation and justification of the chosen product development project, its stages

*2. Concept (max 40 pts)*

* Demonstrate the knowledge and collected information
* Provide arguments for the answers

*3. Communication Skills and Slides (max 30 pts)*

* Verbal and non-verbal communication
* Elaborate answers to questions
* Clear and appropriate slides in terms of layout and design

*4. Teamwork (max 10 pts)*

* Speeches of different team members properly distributed in time
* Continuation of thought throughout the speakers
* Time management

----

*Deliverables:*

* Presentation slides
* Report chapter 3.2
* Submit slides and report on Moodle",,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,,,,,,,,,{},,0|i00086:f,SCRUM questions Sprint 3,,,,,,,,,,,Done,15/Apr/26 3:51 PM
Contact ZUR member associations for farmer interview recruitment,SCRUM-65,10296,Task,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,,,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,13/Mar/26 10:53 AM,14/Apr/26 11:37 AM,,14/Apr/26 11:37 AM,,0,,,,,"Reach out to relevant member associations of the Chamber of Agriculture of the Republic of Lithuania (Žemės ūkio rūmai – zur.lt/members/) to recruit farmers for our user research interviews.

*Source:* https://zur.lt/members/

*Priority contacts (national-level, broad farmer reach):*

* Lithuanian Farmers' Association (Lietuvos ūkininkų draugija)
* Lithuanian Family Farmers' Union (seimosukiai.lt)
* Lithuanian Association of Organic Farms (LEUA)
* Lithuanian Young Farmers and Youth Union (jujs.lt)
* Lithuanian Association of Agricultural Cooperatives ""Kooperacijos kelias"" (koopkelias.lt)
* Local Action Groups Network

*Sector-specific associations:*

* Lithuanian Vegetable Growers Association (ldaa.lt)
* Lithuanian Cattle Breeders Association (holstein.lt)
* Lithuanian Pig Breeders Association (kiaules.lt)
* Lithuanian Sheep Breeders Association (aviuaugintojai.lt)
* Lithuanian Seed Production Association (seklininkyste.lt)
* Lithuanian Greenhouse Association
* Kaunas Beekeepers Association
* Winegrowers Association (vynuogininkuasociacija.lt)

*Regional farmer associations:*

* Ukmergė, Šakiai, Ignalina, Šalčininkai, Biržai, Skuodas district farmers' associations

*Actions:*

# Draft outreach message (in Lithuanian) introducing the Regulatory Compliance Navigator project and requesting interview participation
# Prioritize associations most likely to connect us with small-to-medium farmers navigating CAP compliance
# Send outreach emails/messages and track responses
# Schedule interviews with willing participants",,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,,,,,,,,,{},,0|i0003w:,SCRUM questions Sprint 2,,,,,,,"13/Mar/26 11:03 AM;712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14;⚠️ *NOTE TO TEAM*: Please translate this message into Lithuanian before sending.

Subject: Quick Request: Farmer Interviews for KTU Student Research on CAP Compliance

Dear [Association Name],

We're a KTU student team building a digital tool to help Lithuanian farmers manage EU regulatory compliance (CAP). We're looking for farmers willing to do a short (15–20 min) interview about their compliance experience.

Could you help by forwarding our request to your members or connecting us with a few willing participants? Interviews can be in Lithuanian, by phone or video call.

We'd be happy to share our research findings with your association afterward.

Thank you!

[Your Name]
KTU – Product Development Project K608
[Email] | [Phone]",,,,Done,14/Apr/26 11:37 AM
Compile final market analysis report and link in Jira,SCRUM-64,10263,Subtask,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,09/Mar/26 11:57 AM,14/Apr/26 11:40 AM,,14/Apr/26 11:40 AM,,0,,,,,"Compile all research (TAM/SAM/SOM, market trends, competitor profiles, comparison matrix, supplier analysis, risk map) into a final market analysis report.\n\nThe report should include:\n- Executive summary\n- Market sizing with sources\n- Competitor landscape overview and feature matrix\n- Supplier overview with risk assessment\n- Key insights and recommendations for product strategy\n\nPublish to Confluence or share as a document and link it in the SCRUM-16 Jira issue.",,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,,,,,,,,,{},,0|i000dz:,SCRUM questions Sprint 1,SCRUM questions Sprint 2,,,,,,,10123,SCRUM-16,"Market analysis, competitor and supplier analysis",Done,14/Apr/26 11:40 AM
Map supplier risks and dependencies with mitigation strategies,SCRUM-63,10261,Subtask,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,09/Mar/26 11:57 AM,14/Apr/26 11:40 AM,,14/Apr/26 11:40 AM,,0,,,,,"Map out supplier risks and dependencies for the platform. Consider:\n\n- Single points of failure (e.g., reliance on one data source)\n- API availability and rate limits\n- Data access restrictions by Member States\n- Cost scalability as we expand across EU\n- Regulatory/legal risks around data usage\n\nPropose mitigation strategies for critical risks.",,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,,,,,,,,,{},,0|i000dr:,SCRUM questions Sprint 1,SCRUM questions Sprint 2,,,,,,,10123,SCRUM-16,"Market analysis, competitor and supplier analysis",Done,14/Apr/26 11:40 AM
Identify and evaluate key technology and data suppliers,SCRUM-62,10259,Subtask,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,09/Mar/26 11:57 AM,14/Apr/26 11:40 AM,,14/Apr/26 11:40 AM,,0,,,,,"Identify and evaluate key suppliers needed to build the Regulatory Compliance Navigator:\n\n- Data suppliers: EU regulatory databases, LPIS/IACS systems, satellite monitoring providers (e.g., Copernicus/Sentinel)\n- Technology suppliers: cloud hosting (AWS/Azure/GCP), translation APIs, analytics engines\n- Integration partners: National Paying Agencies, existing farm management systems\n\nFor each supplier, document: capabilities, pricing (where available), integration complexity, and risks/dependencies.",,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,,,,,,,,,{},,0|i000dj:,SCRUM questions Sprint 1,SCRUM questions Sprint 2,,,,,,,10123,SCRUM-16,"Market analysis, competitor and supplier analysis",Done,14/Apr/26 11:40 AM
Create competitor feature comparison matrix,SCRUM-61,10257,Subtask,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,09/Mar/26 11:57 AM,14/Apr/26 11:40 AM,,14/Apr/26 11:40 AM,,0,,,,,"Build a feature comparison matrix comparing our Regulatory Compliance Navigator against the identified competitors. Include columns for:\n\n- Compliance automation (SMR/GAEC tracking)\n- Multi-language support\n- Cross-Member-State coverage\n- Real-time alerts and monitoring\n- Report generation for National Paying Agencies\n- Pricing model\n- Target user segment\n\nHighlight our competitive advantages (interdisciplinary approach, human-system interaction focus, plain-language translation of legal jargon).",,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,,,,,,,,,{},,0|i000db:,SCRUM questions Sprint 1,SCRUM questions Sprint 2,,,,,,,10123,SCRUM-16,"Market analysis, competitor and supplier analysis",Done,14/Apr/26 11:40 AM
Identify and profile at least 5 competitors,SCRUM-60,10255,Subtask,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,09/Mar/26 11:57 AM,14/Apr/26 11:40 AM,,14/Apr/26 11:40 AM,,0,,,,,"Identify and analyze at least 5 competitors in the EU agricultural compliance space. Include both:\n\n- Direct competitors: existing compliance automation platforms\n- Indirect competitors: agricultural consultants, general farm management software (FMS), government portals\n\nFor each competitor, document: product features, target market, pricing model, strengths, and weaknesses.",,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,,,,,,,,,{},,0|i000d3:,SCRUM questions Sprint 1,SCRUM questions Sprint 2,,,,,,,10123,SCRUM-16,"Market analysis, competitor and supplier analysis",Done,14/Apr/26 11:40 AM
